Ticker Symbol,Last Updated
ABN AMRO Bank,18:01:19 - 29/01/2025 
Bankactiviteiten,18:01:19 - 29/01/2025 
ABN,18:01:19 - 29/01/2025 
Adyen,18:01:19 - 29/01/2025 
Betalingsverwerkingsbedrijf,18:01:19 - 29/01/2025 
ADYEN,18:01:19 - 29/01/2025 
Aegon,18:01:19 - 29/01/2025 
Levensverzekeringen,18:01:19 - 29/01/2025 
AGN,18:01:19 - 29/01/2025 
Ahold Delhaize,18:01:19 - 29/01/2025 
Supermarkten en retail,18:01:19 - 29/01/2025 
AD,18:01:19 - 29/01/2025 
Akzo Nobel,18:01:19 - 29/01/2025 
Verf- en coatingfabrikant,18:01:19 - 29/01/2025 
AKZA,18:01:19 - 29/01/2025 
ArcelorMittal,18:01:19 - 29/01/2025 
IJzer en staal,18:01:19 - 29/01/2025 
MT,18:01:19 - 29/01/2025 
ASM International,18:01:19 - 29/01/2025 
Halfgeleiderindustrie,18:01:19 - 29/01/2025 
ASM,18:01:19 - 29/01/2025 
ASML,18:01:19 - 29/01/2025 
Chipmachines,18:01:19 - 29/01/2025 
ASML,18:01:19 - 29/01/2025 
ASR Nederland,18:01:19 - 29/01/2025 
Verzekeringen,18:01:19 - 29/01/2025 
ASRNL,18:01:19 - 29/01/2025 
Besi,18:01:19 - 29/01/2025 
Halfgeleiderindustrie,18:01:19 - 29/01/2025 
BESI,18:01:19 - 29/01/2025 
DSM,18:01:19 - 29/01/2025 
Chemie- en biotechnologie,18:01:19 - 29/01/2025 
DSM,18:01:19 - 29/01/2025 
Exor,18:01:19 - 29/01/2025 
Investeringsmaatschappij,18:01:19 - 29/01/2025 
EXOR,18:01:19 - 29/01/2025 
Heineken,18:01:19 - 29/01/2025 
Bierbrouwer,18:01:19 - 29/01/2025 
HEIA,18:01:19 - 29/01/2025 
IMCD,18:01:19 - 29/01/2025 
ChemicaliÃ«ndistributie,18:01:19 - 29/01/2025 
IMCD,18:01:19 - 29/01/2025 
ING Group,18:01:19 - 29/01/2025 
Bankactiviteiten,18:01:19 - 29/01/2025 
INGA,18:01:19 - 29/01/2025 
KPN,18:01:19 - 29/01/2025 
Telecommunicatie,18:01:19 - 29/01/2025 
KPN,18:01:19 - 29/01/2025 
Nationale-Nederlanden,18:01:19 - 29/01/2025 
Levensverzekeringen,18:01:19 - 29/01/2025 
NN,18:01:19 - 29/01/2025 
Philips,18:01:19 - 29/01/2025 
Medische technologie,18:01:19 - 29/01/2025 
PHIA,18:01:19 - 29/01/2025 
Prosus,18:01:19 - 29/01/2025 
Internettechnologie,18:01:19 - 29/01/2025 
PRX,18:01:19 - 29/01/2025 
Randstad Holding,18:01:19 - 29/01/2025 
Uitzendonderneming,18:01:19 - 29/01/2025 
RAND,18:01:19 - 29/01/2025 
RELX,18:01:19 - 29/01/2025 
Uitgeverij,18:01:19 - 29/01/2025 
REN,18:01:19 - 29/01/2025 
Shell plc,18:01:19 - 29/01/2025 
Olie en gas,18:01:19 - 29/01/2025 
RDSA,18:01:19 - 29/01/2025 
Unilever,18:01:19 - 29/01/2025 
Voedsel- en verzorgingsproducten,18:01:19 - 29/01/2025 
UNA,18:01:19 - 29/01/2025 
Universal Music Group,18:01:19 - 29/01/2025 
Muziekuitgever,18:01:19 - 29/01/2025 
UMG,18:01:19 - 29/01/2025 
Wolters Kluwer,18:01:19 - 29/01/2025 
Uitgeverij,18:01:19 - 29/01/2025 
WKL,18:01:19 - 29/01/2025 
